timestamp,bank_name,internet_banking,rtgs,neft,imps,upi,mobile_banking
2026-05-04T06:42:23.048411,Punjab National Bank,UP,UP,UP,UP,UP,UP
2026-05-04T06:42:23.048411,HDFC Bank,UP,UP,UP,UP,UP,UP
2026-05-04T06:42:23.048411,Axis Bank,UP,UP,UP,UP,UP,UP
2026-05-04T06:42:23.048411,Bank Of Baroda,UP,UP,UP,UP,UP,UP
2026-05-04T06:42:23.048411,Airtel Payments Bank,UP,UP,UP,UP,UP,UP
2026-05-04T06:42:23.048411,Canara Bank,UP,UP,UP,UP,UP,UP
2026-05-04T06:42:23.048411,ICICI Bank,UP,UP,UP,UP,UP,UP
2026-05-04T06:42:23.048411,Kotak Mahindra Bank,UP,UP,UP,UP,UP,UP
2026-05-04T06:42:23.048411,State Bank of India,UP,UP,UP,UP,UP,UP
2026-05-04T06:42:23.048411,AU Small Finance Bank,UP,UP,UP,UP,UP,UP
2026-05-04T06:46:37.669771,Punjab National Bank,UP,UP,UP,UP,UP,UP
2026-05-04T06:46:37.669771,HDFC Bank,UP,UP,UP,UP,UP,UP
2026-05-04T06:46:37.669771,Axis Bank,UP,UP,UP,UP,UP,UP
2026-05-04T06:46:37.669771,Bank Of Baroda,UP,UP,UP,UP,UP,UP
2026-05-04T06:46:37.669771,Airtel Payments Bank,UP,UP,UP,UP,UP,UP
2026-05-04T06:46:37.669771,Canara Bank,UP,UP,UP,UP,UP,UP
2026-05-04T06:46:37.669771,ICICI Bank,UP,UP,UP,UP,UP,UP
2026-05-04T06:46:37.669771,Kotak Mahindra Bank,UP,UP,UP,UP,UP,UP
2026-05-04T06:46:37.669771,State Bank of India,UP,UP,UP,UP,UP,UP
2026-05-04T06:46:37.669771,AU Small Finance Bank,UP,UP,UP,UP,UP,UP
2026-05-04T12:39:40.666966,Punjab National Bank,UP,UP,UP,UP,UP,UP
2026-05-04T12:39:40.666966,HDFC Bank,UP,UP,UP,UP,UP,UP
2026-05-04T12:39:40.666966,Axis Bank,UP,UP,UP,UP,UP,UP
2026-05-04T12:39:40.666966,Bank Of Baroda,UP,UP,UP,UP,UP,UP
2026-05-04T12:39:40.666966,Airtel Payments Bank,UP,UP,UP,UP,UP,UP
2026-05-04T12:39:40.666966,Canara Bank,UP,UP,UP,UP,UP,UP
2026-05-04T12:39:40.666966,ICICI Bank,UP,UP,UP,UP,UP,UP
2026-05-04T12:39:40.666966,Kotak Mahindra Bank,UP,UP,UP,UP,UP,UP
2026-05-04T12:39:40.666966,State Bank of India,UP,UP,UP,UP,UP,UP
2026-05-04T12:39:40.666966,AU Small Finance Bank,UP,UP,UP,UP,UP,UP
2026-05-04T12:40:07.041247,Punjab National Bank,UP,UP,UP,UP,UP,UP
2026-05-04T12:40:07.041247,HDFC Bank,UP,UP,UP,UP,UP,UP
2026-05-04T12:40:07.041247,Axis Bank,UP,UP,UP,UP,UP,UP
2026-05-04T12:40:07.041247,Bank Of Baroda,UP,UP,UP,UP,UP,UP
2026-05-04T12:40:07.041247,Airtel Payments Bank,UP,UP,UP,UP,UP,UP
2026-05-04T12:40:07.041247,Canara Bank,UP,UP,UP,UP,UP,UP
2026-05-04T12:40:07.041247,ICICI Bank,UP,UP,UP,UP,UP,UP
2026-05-04T12:40:07.041247,Kotak Mahindra Bank,UP,UP,UP,UP,UP,UP
2026-05-04T12:40:07.041247,State Bank of India,UP,UP,UP,UP,UP,UP
2026-05-04T12:40:07.041247,AU Small Finance Bank,UP,UP,UP,UP,UP,UP
2026-05-04T12:44:48.958818,Punjab National Bank,UP,UP,UP,UP,UP,UP
2026-05-04T12:44:48.958818,HDFC Bank,UP,UP,UP,UP,UP,UP
2026-05-04T12:44:48.958818,Axis Bank,UP,UP,UP,UP,UP,UP
2026-05-04T12:44:48.958818,Bank Of Baroda,UP,UP,UP,UP,UP,UP
2026-05-04T12:44:48.958818,Airtel Payments Bank,UP,UP,UP,UP,UP,UP
2026-05-04T12:44:48.958818,Canara Bank,UP,UP,UP,UP,UP,UP
2026-05-04T12:44:48.958818,ICICI Bank,UP,UP,UP,UP,UP,UP
2026-05-04T12:44:48.958818,Kotak Mahindra Bank,UP,UP,UP,UP,UP,UP
2026-05-04T12:44:48.958818,State Bank of India,UP,UP,UP,UP,UP,UP
2026-05-04T12:44:48.958818,AU Small Finance Bank,UP,UP,UP,UP,UP,UP
2026-05-04T12:45:07.090603,Punjab National Bank,UP,UP,UP,UP,UP,UP
2026-05-04T12:45:07.090603,HDFC Bank,UP,UP,UP,UP,UP,UP
2026-05-04T12:45:07.090603,Axis Bank,UP,UP,UP,UP,UP,UP
2026-05-04T12:45:07.090603,Bank Of Baroda,UP,UP,UP,UP,UP,UP
2026-05-04T12:45:07.090603,Airtel Payments Bank,UP,UP,UP,UP,UP,UP
2026-05-04T12:45:07.090603,Canara Bank,UP,UP,UP,UP,UP,UP
2026-05-04T12:45:07.090603,ICICI Bank,UP,UP,UP,UP,UP,UP
2026-05-04T12:45:07.090603,Kotak Mahindra Bank,UP,UP,UP,UP,UP,UP
2026-05-04T12:45:07.090603,State Bank of India,UP,UP,UP,UP,UP,UP
2026-05-04T12:45:07.090603,AU Small Finance Bank,UP,UP,UP,UP,UP,UP
2026-05-04T12:50:06.272716,Punjab National Bank,UP,UP,UP,UP,UP,UP
2026-05-04T12:50:06.272716,HDFC Bank,UP,UP,UP,UP,UP,UP
2026-05-04T12:50:06.272716,Axis Bank,UP,UP,UP,UP,UP,UP
2026-05-04T12:50:06.272716,Bank Of Baroda,UP,UP,UP,UP,UP,UP
2026-05-04T12:50:06.272716,Airtel Payments Bank,UP,UP,UP,UP,UP,UP
2026-05-04T12:50:06.272716,Canara Bank,UP,UP,UP,UP,UP,UP
2026-05-04T12:50:06.272716,ICICI Bank,UP,UP,UP,UP,UP,UP
2026-05-04T12:50:06.272716,Kotak Mahindra Bank,UP,UP,UP,UP,UP,UP
2026-05-04T12:50:06.272716,State Bank of India,UP,UP,UP,UP,UP,UP
2026-05-04T12:50:06.272716,AU Small Finance Bank,UP,UP,UP,UP,UP,UP
2026-05-04T12:55:06.736122,Punjab National Bank,UP,UP,UP,UP,UP,UP
2026-05-04T12:55:06.736122,HDFC Bank,UP,UP,UP,UP,UP,UP
2026-05-04T12:55:06.736122,Axis Bank,UP,UP,UP,UP,UP,UP
2026-05-04T12:55:06.736122,Bank Of Baroda,UP,UP,UP,UP,UP,UP
2026-05-04T12:55:06.736122,Airtel Payments Bank,UP,UP,UP,UP,UP,UP
2026-05-04T12:55:06.736122,Canara Bank,UP,UP,UP,UP,UP,UP
2026-05-04T12:55:06.736122,ICICI Bank,UP,UP,UP,UP,UP,UP
2026-05-04T12:55:06.736122,Kotak Mahindra Bank,UP,UP,UP,UP,UP,UP
2026-05-04T12:55:06.736122,State Bank of India,UP,UP,UP,UP,UP,UP
2026-05-04T12:55:06.736122,AU Small Finance Bank,UP,UP,UP,UP,UP,UP
2026-05-04T13:00:06.651049,Punjab National Bank,UP,UP,UP,UP,UP,UP
2026-05-04T13:00:06.651049,HDFC Bank,UP,UP,UP,UP,UP,UP
2026-05-04T13:00:06.651049,Axis Bank,UP,UP,UP,UP,UP,UP
2026-05-04T13:00:06.651049,Bank Of Baroda,UP,UP,UP,UP,UP,UP
2026-05-04T13:00:06.651049,Airtel Payments Bank,UP,UP,UP,UP,UP,UP
2026-05-04T13:00:06.651049,Canara Bank,UP,UP,UP,UP,UP,UP
2026-05-04T13:00:06.651049,ICICI Bank,UP,UP,UP,UP,UP,UP
2026-05-04T13:00:06.651049,Kotak Mahindra Bank,UP,UP,UP,UP,UP,UP
2026-05-04T13:00:06.651049,State Bank of India,UP,UP,UP,UP,UP,UP
2026-05-04T13:00:06.651049,AU Small Finance Bank,UP,UP,UP,UP,UP,UP
2026-05-04T13:05:06.199156,Punjab National Bank,UP,UP,UP,UP,UP,UP
2026-05-04T13:05:06.199156,HDFC Bank,UP,UP,UP,UP,UP,UP
2026-05-04T13:05:06.199156,Axis Bank,UP,UP,UP,UP,UP,UP
2026-05-04T13:05:06.199156,Bank Of Baroda,UP,UP,UP,UP,UP,UP
2026-05-04T13:05:06.199156,Airtel Payments Bank,UP,UP,UP,UP,UP,UP
2026-05-04T13:05:06.199156,Canara Bank,UP,UP,UP,UP,UP,UP
2026-05-04T13:05:06.199156,ICICI Bank,UP,UP,UP,UP,UP,UP
2026-05-04T13:05:06.199156,Kotak Mahindra Bank,UP,UP,UP,UP,UP,UP
2026-05-04T13:05:06.199156,State Bank of India,UP,UP,UP,UP,UP,UP
2026-05-04T13:05:06.199156,AU Small Finance Bank,UP,UP,UP,UP,UP,UP
2026-05-04T13:10:06.381838,Punjab National Bank,UP,UP,UP,UP,UP,UP
2026-05-04T13:10:06.381838,HDFC Bank,UP,UP,UP,UP,UP,UP
2026-05-04T13:10:06.381838,Axis Bank,UP,UP,UP,UP,UP,UP
2026-05-04T13:10:06.381838,Bank Of Baroda,UP,UP,UP,UP,UP,UP
2026-05-04T13:10:06.381838,Airtel Payments Bank,UP,UP,UP,UP,UP,UP
2026-05-04T13:10:06.381838,Canara Bank,UP,UP,UP,UP,UP,UP
2026-05-04T13:10:06.381838,ICICI Bank,UP,UP,UP,UP,UP,UP
